FS   Other            RA (J2000)  Dec              I                  Z                 J(98)                H(98)                K(98)                L'(98)              M(98)
#    Name                                   mag    sem   N     mag    sem   N     mag     sem    N     mag     sem    N      mag    sem    N     mag    sem   N    mag    sem   N 
&    BS1869       05 36 15.96 +47 42 55.0    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &     &     &    5.40 (0.03) [01]
&    HD38921      05 47 22.19 -38 13 51.3    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.52 (0.02) [02]  7.49 (0.03) [02]
12   GD71         05 52 27.66 +15 53 14.3  13.40 (0.02)  &    13.49 (0.02) [02]  13.714 (0.008) [13]  13.793 (0.008) [13]  13.901 (0.006) [13]    &     &     &     &     &     &
13   SA97-249     05 57 07.59 +00 01 11.4  10.87 (0.02)  &    10.75 (0.01)  7    10.495 (0.005) [13]  10.196 (0.003) [12]  10.143 (0.003) [12]  10.10 (0.03) [02]   &     &     &
&    HD40335      05 58 13.52 +01 51 23.0    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     6.45 (0.03) [02]  6.41 (0.02) [05]
120  lhs216       06 14 01.44 +15 09 58.3    &     &     &      &     &     &    11.335 (0.011) [07]  10.852 (0.009) [07]  10.612 (0.007) [06]    &     &     &     &     &     &
&    BS2228       06 17 34.65 +46 25 26.2    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &     &     &    5.87 (0.03) [02]
&    HD44612      06 24 46.60 +43 32 54.5    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.05 (0.01) [03]  7.07 (0.04) [02]
121  s772-g       06 59 46.82 -04 54 33.2  12.82 (0.01) [02]  12.53 (0.01) [02]  11.971 (0.008) [07]  11.432 (0.005) [07]  11.302 (0.004) [07]    &     &     &     &     &     &
122  p161-d       07 00 52.02 +48 29 24.0    &     &     &      &     &     &    11.637 (0.006) [06]  11.382 (0.004) [07]  11.338 (0.003) [07]    &     &     &     &     &     &
14   Rubin149     07 24 14.40 -00 33 04.1  14.00 (0.01)  &    14.00 (0.01) [02]  14.101 (0.015) [08]  14.163 (0.013) [08]  14.200 (0.008) [08]    &     &     &     &     &     &
&    LHS2026      08 32 30.50 -01 34 37.0    &     &     &      &     &     &    11.976 (0.006) [02]  11.464 (0.004) [02]  11.087 (0.009) [02]    &     &     &     &     &     &
15   M67-I-48     08 51 05.81 +11 43 46.9  13.20 (0.02) [02]  13.03 (0.03) [02]  12.729 (0.007) [13]  12.405 (0.004) [13]  12.340 (0.004) [13]    &     &     &     &     &     &
123  p486-r       08 51 11.88 +11 45 21.5  10.05 (0.02) [03]  10.01 (0.03) [03]  10.143 (0.006) [10]  10.168 (0.006) [10]  10.211 (0.004) [10]  10.25 (0.02) [04]   &     &     &
16   M67-IV-8     08 51 15.01 +11 49 21.2  13.38 (0.03) [01]    &     &     &    12.948 (0.006) [11]  12.670 (0.004) [11]  12.621 (0.004) [11]    &     &     &     &     &     &
