FS   Other            RA (J2000)  Dec              I                  Z                 J(98)                H(98)                K(98)                L'(98)              M(98)
#    Name                                   mag    sem   N     mag    sem   N     mag     sem    N     mag     sem    N      mag    sem    N     mag    sem   N    mag    sem   N 
121  s772-g       06 59 46.82 -04 54 33.2  12.82 (0.01) [02]  12.53 (0.01) [02]  11.984 (0.012) [03]  11.436 (0.008) [03]  11.302 (0.009) [03]    &     &     &       &     &     &
122  p161-d       07 00 52.02 +48 29 24.0    &     &     &      &     &     &    11.659 (0.011) [03]  11.386 (0.007) [03]  11.350 (0.005) [03]    &     &     &       &     &     &
14   Rubin149     07 24 14.40 -00 33 04.1  14.00 (0.01)  &    14.00 (0.01) [02]  14.122 (0.016) [04]  14.143 (0.017) [04]  14.205 (0.015) [02]    &     &     &       &     &     &
&    RU149D       07 24 15.36 -00 32 47.9    &     &     &      &     &     &    11.449 (0.008) [03]  11.452 (0.008) [03]  11.476 (0.006) [03]    &     &     &       &     &     & 
&    P309-U       07 30 34.50 +29 51 12.0    &     &     &      &     &     &    11.823 (0.015) [04]  11.494 (0.022) [03]  11.445 (0.010) [04]    &     &     &       &     &     &
&    S495-E       08 27 12.5  -25 08 01      &     &     &      &     &     &    11.478 (0.005) [02]  11.025 (0.007) [02]  10.937 (0.017) [02]    &     &     &       &     &     &
&    P545-C       08 29 25.10 +05 56 08.0    &     &     &      &     &     &    11.831 (0.022) [04]  11.595 (0.022) [04]  11.553 (0.017) [04]    &     &     &       &     &     &
&    LHS2026      08 32 30.50 -01 34 37.0    &     &     &      &     &     &    11.980 (0.008) [03]  11.470 (0.010) [03]  11.102 (0.023) [03]    &     &     &       &     &     &
&    S705-D       08 36 12.50 -10 13 39.0    &     &     &      &     &     &    12.302 (0.018) [03]  12.083 (0.032) [04]  12.012 (0.032) [04]    &     &     &       &     &     &
15   M67-I-48     08 51 05.81 +11 43 46.9  13.20 (0.02) [02]  13.03 (0.03) [02]  12.728 (0.017) [04]  12.415 (0.007) [04]  12.355 (0.003) [04]    &     &     &       &     &     &
123  p486-r       08 51 11.88 +11 45 21.5  10.05 (0.02) [03]  10.01 (0.03) [03]  10.141 (0.002) [03]  10.164 (0.011) [03]  10.206 (0.014) [04]  10.25  (0.02)  [04]   &     &     &
