FS   Other            RA (J2000)  Dec              I                  Z                Y(MKO)                J(MKO)               H(MKO)               K(MKO)               L'(98)              M(98)
#    Name                                   mag    sem   N     mag    sem   N     mag     sem    N     mag     sem    N     mag     sem    N      mag    sem    N     mag     sem    N     mag   sem   N 
&    P545-C       08 29 25.10 +05 56 08.0    &     &     &      &     &     &    12.031 (0.009) [23]  11.841 (0.018) [05]  11.585 (0.010) [04]  11.549 (0.010) [05]    &      &      &     &     &     &
&    LHS2026      08 32 30.50 -01 34 37.0    &     &     &      &     &     &      &      &      &    11.990 (0.010) [03]  11.482 (0.005) [03]  11.075 (0.014) [03]    &      &      &     &     &     &
15   M67-I-48     08 51 05.81 +11 43 46.9  13.20 (0.02) [02]  13.03 (0.03) [02]    &      &      &    12.722 (0.008) [04]  12.423 (0.014) [05]  12.359 (0.013) [04]    &      &      &     &     &     &
123  p486-r       08 51 11.88 +11 45 21.5  10.05 (0.02) [03]  10.01 (0.03) [03]    &      &      &    10.126 (0.012) [04]  10.158 (0.010) [04]  10.203 (0.007) [04]  10.25  (0.02)  [04]   &     &     &
16   M67-IV-8     08 51 15.01 +11 49 21.2  13.38 (0.03) [01]    &     &     &    13.197 (0.005) [14]  12.968 (0.014) [05]  12.702 (0.009) [05]  12.650 (0.015) [06]    &      &      &     &     &     &
17   M67-IV-27    08 51 19.31 +11 52 10.4    &     &     &      &     &     &      &      &      &    12.668 (0.017) [03]  12.363 (0.010) [04]  12.290 (0.011) [04]    &      &      &     &     &     &
124  lhs254       08 54 12.60 -08 05 03.0  12.94 (0.03) [01]  12.28 (0.01) [02]    &      &      &    11.467 (0.018) [05]  11.085 (0.007) [04]  10.727 (0.009) [03]    &      &      &     &     &     &
&    HD77281      09 01 38.01 -01 28 34.8    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     7.041 (0.014) [05]  7.02 (0.03) [05]
125  p259-c       09 03 20.60 +34 21 03.9    &     &     &      &     &     &    11.042 (0.015) [13]  10.797 (0.006) [04]  10.423 (0.011) [04]  10.355 (0.007) [04]  10.33  (0.03)  [03]   &     &     &
126  p487-f       09 19 18.73 +10 55 54.2    &     &     &      &     &     &      &      &      &    12.304 (0.011) [03]  11.772 (0.007) [03]  11.636 (0.010) [03]    &      &      &     &     &     &
&    GL347A       09 28 53.50 -07 22 15.0    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     7.367 (0.014) [03]   &     &     &
&    S852-C       09 41 35.80 +00 33 12.0    &     &     &      &     &     &      &      &      &    11.288 (0.019) [03]  11.004 (0.019) [03]  10.960 (0.009) [02]    &      &      &     &     &     &
&    HD84800      09 48 44.64 +43 39 55.6    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     7.547 (0.013) [05]  7.56 (0.02) [05]
&    S708-D       09 48 56.40 -10 30 32.0    &     &     &      &     &     &      &      &      &    11.034 (0.010) [04]  10.736 (0.010) [04]  10.671 (0.013) [04]    &      &      &     &     &     &
